start_date_local,type,distance,moving_time,average_speed,streak,location_country
2023-04-27 19:29:07,Run,4049.03,0:30:15,0:07:28,2,"{'latitude': 30.453895, 'longitude': 114.431406, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453557, 'startLongitude': 114.430814}"
2023-04-28 07:09:31,Run,11431.23,1:37:10,0:08:30,3,"{'latitude': 30.453806, 'longitude': 114.429118, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454218, 'startLongitude': 114.431489}"
2023-04-29 05:56:29,Run,6718.9,0:49:43,0:07:23,4,"{'latitude': 30.663863, 'longitude': 114.561619, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '新洲区', 'districtCode': '420117', 'startLatitude': 30.663208, 'startLongitude': 114.561842}"
2023-05-02 06:36:59,Run,4186.01,0:39:56,0:09:32,1,"{'latitude': 30.662359, 'longitude': 114.56164, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '新洲区', 'districtCode': '420117', 'startLatitude': 30.663095, 'startLongitude': 114.561766}"
2023-05-03 18:33:58,Run,5371.95,1:02:08,0:11:33,2,"{'latitude': 30.658497, 'longitude': 114.333927, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.65707, 'startLongitude': 114.327893}"
2023-05-04 07:50:13,Run,4065.63,0:30:54,0:07:36,3,"{'latitude': 30.457204, 'longitude': 114.43414, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.4537, 'startLongitude': 114.429478}"
2023-05-05 07:17:02,Run,5052.73,0:37:29,0:07:25,4,"{'latitude': 30.453131, 'longitude': 114.434022, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453839, 'startLongitude': 114.430523}"
2023-05-05 19:13:31,Run,4383.68,0:31:41,0:07:13,4,"{'latitude': 30.458934, 'longitude': 114.432211, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453986, 'startLongitude': 114.429494}"
2023-05-06 07:22:38,Run,12095.24,1:26:05,0:07:07,5,"{'latitude': 30.454091, 'longitude': 114.43235, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453695, 'startLongitude': 114.429363}"
2023-05-08 07:34:02,Run,6045.95,0:47:48,0:07:54,1,"{'latitude': 30.449679, 'longitude': 114.423567, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.45513, 'startLongitude': 114.43707}"
2023-05-08 18:25:22,Run,3059.17,0:22:55,0:07:29,1,"{'latitude': 30.456114, 'longitude': 114.434021, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453735, 'startLongitude': 114.428411}"
2023-05-09 07:33:08,Run,13313.76,1:19:48,0:05:59,2,"{'latitude': 30.450036, 'longitude': 114.426218, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454869, 'startLongitude': 114.435254}"
2023-05-09 19:16:27,Run,4194.01,0:24:52,0:05:55,2,"{'latitude': 30.462492, 'longitude': 114.435564, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.462387, 'startLongitude': 114.435626}"
2023-05-10 07:30:43,Run,3147.86,0:23:53,0:07:35,3,"{'latitude': 30.455374, 'longitude': 114.427225, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454717, 'startLongitude': 114.430003}"
2023-05-11 07:17:43,Run,8376.43,0:57:38,0:06:52,4,"{'latitude': 30.459197, 'longitude': 114.424189, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454296, 'startLongitude': 114.432242}"
2023-05-12 07:16:07,Run,5058.52,0:37:47,0:07:28,5,"{'latitude': 30.454596, 'longitude': 114.434341, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454207, 'startLongitude': 114.431205}"
2023-05-12 18:22:31,Run,4223.53,0:31:05,0:07:21,5,"{'latitude': 30.458156, 'longitude': 114.432861, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.45375, 'startLongitude': 114.429371}"
2023-05-13 07:45:23,Run,1323.47,0:09:01,0:06:48,6,"{'latitude': 30.617432, 'longitude': 114.257467, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江汉区', 'districtCode': '420103', 'startLatitude': 30.617485, 'startLongitude': 114.25752}"
2023-05-13 22:13:54,Run,5685.34,0:44:04,0:07:45,6,"{'latitude': 28.139032, 'longitude': 113.060801, 'country': '中国', 'nationCode': '156', 'province': '湖南省', 'city': '长沙市', 'cityCode': '0731', 'district': '雨花区', 'districtCode': '430111', 'startLatitude': 28.139803, 'startLongitude': 113.058491}"
